Date,Season,G,Tm,@,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,MP-binned,GmSc/min,PM/min,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
12/21/2004,2,25,CLE,,MIN,W (+10),43.183333333,10,18,0.556,0,1,0,6,8,0.75,0,6,6,12,1,0,2,2,26,25,13,Above,0.578927055,0.301042069,120.7,108.9,11.9,48,6,33.3,0,13.6,7.9,5.6,55.6,60.4,27,89.48,18.5
12/22/2004,2,26,CLE,@,NJN,L (-2),42.633333333,7,18,0.389,1,1,1,8,10,0.8,1,8,9,9,1,0,4,2,23,18,-3,Above,0.422204848,-0.070367475,100,105.1,-5.1,45,2.25,25,2,19,9.9,11.1,41.7,51.3,28.1,89.51,18
12/26/2004,2,27,CLE,,NOH,W (+9),44.666666667,7,16,0.438,0,1,0,8,9,0.889,1,8,9,14,4,1,5,2,22,25,8,Above,0.559701493,0.179104478,110.6,102.4,8.2,50,2.8,35.9,2.7,15.4,10.1,12.8,43.8,55.1,26.6,90.81,21.7
12/28/2004,2,28,CLE,@,ATL,W (+9),46.333333333,13,25,0.52,3,5,0.6,11,14,0.786,1,8,9,7,1,0,1,2,40,33.7,8,Above,0.727338129,0.172661871,120.9,112.1,8.8,28,7,17.9,2.5,21.6,11.7,2.6,58,64.2,30.2,94.27,22.6
1/3/2005,2,30,CLE,@,CHA,W (+11),40.3,11,19,0.579,0,3,0,4,6,0.667,2,6,8,6,2,0,1,3,26,23.5,14,Average,0.583126551,0.347394541,110.8,90.7,20.1,28.6,6,21.4,5.3,12,9.1,3.6,57.9,60.1,24.4,88.73,21.5
1/5/2005,2,31,CLE,,ATL,W (+16),39.65,7,14,0.5,2,5,0.4,4,6,0.667,1,5,6,9,1,1,2,4,20,18.8,10,Average,0.474148802,0.252206810,122.2,108.3,13.9,32.1,4.5,32.1,3.1,11.4,7.9,7.1,57.1,60.1,23.2,87.16,14.7
1/8/2005,2,32,CLE,,NYK,W (+25),32.7,10,14,0.714,0,0,,2,2,1,1,2,3,4,0,2,8,2,22,12.9,5,Below,0.394495413,0.152905199,98.4,90.6,7.8,28.6,0.5,15.4,3.8,5.6,4.8,30.8,71.4,73.9,30.6,93.94,15.3
1/11/2005,2,33,CLE,,CHA,W (+2),49.033333333,11,24,0.458,2,5,0.4,5,7,0.714,1,7,8,9,2,1,8,1,29,19.2,7,Above,0.391570360,0.142760027,104.4,98.9,5.5,33.3,1.13,20.5,2.1,15.6,8.6,18.2,50,53.5,32.1,88.1,16.1
1/13/2005,2,34,CLE,@,LAL,L (-4),44.333333333,12,26,0.462,1,4,0.25,3,4,0.75,3,10,13,9,1,1,4,1,28,22.9,-1,Above,0.516541353,-0.022556391,101.1,103.4,-2.3,34.6,2.25,22,7.3,20,14.3,9.8,48.1,50.4,31.4,95.82,21.8
1/15/2005,2,35,CLE,@,UTA,W (+13),41.3,9,20,0.45,0,1,0,9,14,0.643,1,7,8,5,5,0,3,2,27,22.1,11,Average,0.535108959,0.266343826,96.1,81.8,14.3,35.7,1.67,14.7,2.6,16.7,9.9,8.8,45,51.6,34.1,89.49,37.6
1/16/2005,2,36,CLE,@,SEA,L (-8),44.15,14,30,0.467,3,7,0.429,4,6,0.667,2,3,5,11,4,1,1,4,35,30.9,-7,Above,0.699886750,-0.158550396,101.1,111.8,-10.6,64.7,11,25,3.6,7.7,5.3,2.3,51.7,53.6,30.8,93.5,28.6
